,Title,VideoID,ChannelID,Views,SubsCount,Views_to_Subs,Target,Cleaned_Titles
0,"이 세상 모든 여행기 몰아보기 [걸리버여행기, 열하일기, 하멜표류기, 박정양, 이와쿠라 사절단, 동방견문록]",GxHm11CIeE4,UCfU5N61VKvMJUsUzfaqk0Hg,100642,520000,0.19354230769230768,0,이 세상 모든 여행기 몰아보기 걸리버여행기 열하일기 하멜표류기 박정양 이와쿠라 사절단 동방견문록
1,여행기 ((TVXQ Solo) [Bonus Track]),lEGY5zffY0c,UCOcwGi78fdHWhAK-bGnNgCw,191394,190000,1.007336842105263,1,여행기 TVXQ Solo Bonus Track
3,"이나영,구교환,박세완,심은경,한예리,신현지 등 초호화 캐스팅으로 나오자마자 미친 떡상 중인 드라마 《박하경 여행기》1~4화 몰아보기",iQPTxgIOMPM,UCD3TQB9--RP2sYeDjcrLYGw,163480,235000,0.6956595744680851,0,이나영 구교환 박세완 심은경 한예리 신현지 등 초호화 캐스팅으로 나오자마자 미친 떡상 중인 드라마 박하경 여행기 1 4화 몰아보기
4,한국인 혼자 벨기에 수도를 여행하면 일어나는 재밌는 일들 - 베네룩스(1) 🇧🇪,MVodSCFovPk,UC_4hHKHUcs9bGpl_zDAOxvg,1266511,457000,2.77135886214442,1,한국인 혼자 벨기에 수도를 여행하면 일어나는 재밌는 일들 베네룩스 1
5,동방신기) &#39;여행기&#39; (Traveling) Open Concert LIVE,5U3aZGZKxNM,UCN1BY5tIbuJoV4KYxbiB6Yg,26525,24200,1.0960743801652892,1,동방신기 39 여행기 39 Traveling Open Concert LIVE
6,"&quot;빠니보틀, 그는 신인가?&quot; 웃돈 주고라도 가야 할 북해도 렌터카 여행기 (with 빠니보틀, 영알남, 박민정)",hJ4WWLeSSCY,UC0VR2v4TZeGcOrZHnmwbU_Q,1168863,1170000,0.9990282051282051,1,quot 빠니보틀 그는 신인가 quot 웃돈 주고라도 가야 할 북해도 렌터카 여행기 with 빠니보틀 영알남 박민정
7,요상한 나라 부탄 여행기 【부탄1】,2kRMfWK11W0,UCNhofiqfw5nl-NeDJkXtPvw,2282466,2070000,1.1026405797101448,1,요상한 나라 부탄 여행기 부탄1
8,"[vlog] 마지막 액티비티를 즐기다, 롱테일보트｜라오스 여행기 4박6일｜EP.7",CNiIV4cL3ms,UCIEoKOTvRUPYd_Wn95zBUbg,452,164,2.7560975609756095,1,vlog 마지막 액티비티를 즐기다 롱테일보트 라오스 여행기 4박6일 EP 7
9,탈모와 뚱보와 털보의 여행기 【베트남1】,QYGJ-Zcma4Q,UCNhofiqfw5nl-NeDJkXtPvw,5183272,2070000,2.5039961352657003,1,탈모와 뚱보와 털보의 여행기 베트남1
10,★[걸리버 여행기] 설민석 강독 풀버전★ 동화? NO! 발간 직후 금서로 지정된 문제적 풍자문학 | 요즘책방 : 책 읽어드립니다 The Page-Turners EP.30,6nloQ8rPgkc,UCR9gReM5VhQ_8brqQrBaVCA,1526650,795000,1.9203144654088051,1,걸리버 여행기 설민석 강독 풀버전 동화 NO 발간 직후 금서로 지정된 문제적 풍자문학 요즘책방 책 읽어드립니다 The Page Turners EP 30
11,역대급 혼란스러운 나라.. 방글라데시 입국 후기 - 방글라데시1,KiuFxJojb04,UCxU8QX7IRRIW0VLuoWWoxbw,366620,647000,0.5666460587326121,0,역대급 혼란스러운 나라 방글라데시 입국 후기 방글라데시1
12,"1년이라도 아이들 옆에 있고 싶어 시작한 여행_달려라 미니버스, 빼빼가족 유라시아 여행기",JDv9P6TEfi4,UCFw4M1BJYYdN1YtS8SzlDzg,6126617,784000,7.8145625,1,1년이라도 아이들 옆에 있고 싶어 시작한 여행 달려라 미니버스 빼빼가족 유라시아 여행기
13,[103] 환율이 이상한 미얀마에서 값 싼 한식 먹고 좌충우돌 여행기 - 세계여행 🇲🇲,8yfZOohlHnQ,UC2CjODHrJfDAoiT6zoNndYQ,116434,70800,1.64454802259887,1,103 환율이 이상한 미얀마에서 값 싼 한식 먹고 좌충우돌 여행기 세계여행
